Word,Link,ID,Duration
 AAP ,https://www.youtube.com/watch?v=bGGgKRLRngQ,bGGgKRLRngQ,6
 AAP ,https://www.youtube.com/watch?v=0klM2u7dV9M,0klM2u7dV9M,4
 absence,https://www.youtube.com/watch?v=eheMtSsA-ww,eheMtSsA-ww,4
 absurd,https://www.youtube.com/watch?v=tgJL-RUAvO8,tgJL-RUAvO8,3
 Accessibility,https://www.youtube.com/watch?v=gCFab9coHrU,gCFab9coHrU,4
 administer,https://www.youtube.com/watch?v=siXvRrMuC0s,siXvRrMuC0s,4
 admonish,https://www.youtube.com/watch?v=1tst7-aazJo,1tst7-aazJo,3
 affect,https://www.youtube.com/watch?v=ueiJkNzXxzw,ueiJkNzXxzw,7
 aged,https://www.youtube.com/watch?v=z-gika19BqU,z-gika19BqU,4
 aggregate,https://www.youtube.com/watch?v=8I__oqg4_eE,8I__oqg4_eE,4
 agreement,https://www.youtube.com/watch?v=OJqZgTGpghQ,OJqZgTGpghQ,5
 AITC,https://www.youtube.com/watch?v=yYXL6MOhLUo,yYXL6MOhLUo,4
 alliance,https://www.youtube.com/watch?v=FxpR_7U84nQ,FxpR_7U84nQ,14
 Alliance Air,https://www.youtube.com/watch?v=4xykTArwSSg,4xykTArwSSg,6
 allied,https://www.youtube.com/watch?v=FxpR_7U84nQ,FxpR_7U84nQ,14
 allocate,https://www.youtube.com/watch?v=x1S_tnc_djk,x1S_tnc_djk,4
 alone,https://www.youtube.com/watch?v=u7dV3wCpaqM,u7dV3wCpaqM,4
 alternative,https://www.youtube.com/watch?v=kqm4fF_sp4M,kqm4fF_sp4M,5
 ancient,https://www.youtube.com/watch?v=ynZd-HeXGnc,ynZd-HeXGnc,5
 apple gourd ,https://www.youtube.com/watch?v=Nb8uJ822Tig,Nb8uJ822Tig,5
 apple gourd ,https://www.youtube.com/watch?v=F7s5GtLbtGE,F7s5GtLbtGE,5
 appreciate,https://www.youtube.com/watch?v=46-lhzhJf78,46-lhzhJf78,4
 apprise,https://www.youtube.com/watch?v=H4pn0Iqrg8A,H4pn0Iqrg8A,5
 apprise,https://www.youtube.com/watch?v=J4G3ltp807A,J4G3ltp807A,5
 apprise,https://www.youtube.com/watch?v=E6yxMBZEYhs,E6yxMBZEYhs,3
 associate,https://www.youtube.com/watch?v=lypZOubhfds,lypZOubhfds,4
 at the end,https://www.youtube.com/watch?v=vS5fnczMHcA,vS5fnczMHcA,6
 augment,https://www.youtube.com/watch?v=-NXGOOSb2sk,#NAME?,5
 author,https://www.youtube.com/watch?v=8arkJfd_jyQ,8arkJfd_jyQ,3
 backpack,https://www.youtube.com/watch?v=GGK97cywvBc,GGK97cywvBc,4
 bawl,https://www.youtube.com/watch?v=cKkCZ_GYpkk,cKkCZ_GYpkk,5
 be victorious ,https://www.youtube.com/watch?v=5vj022EoOLA,5vj022EoOLA,4
 be victorious  ,https://www.youtube.com/watch?v=hG7jqJgpYzI,hG7jqJgpYzI,6
 begin ,https://www.youtube.com/watch?v=QmWhfW8wyMs,QmWhfW8wyMs,5
 begin ,https://www.youtube.com/watch?v=f0EqkYZvyIQ,f0EqkYZvyIQ,4
 behaviour,https://www.youtube.com/watch?v=5NwQvEmIQdY,5NwQvEmIQdY,4
 behind ,https://www.youtube.com/watch?v=TDlj5kHwiTk,TDlj5kHwiTk,3
 Bihar,https://www.youtube.com/watch?v=mrKqXT7mi94,mrKqXT7mi94,5
 Bihar,https://www.youtube.com/watch?v=MOy1x8EroPs,MOy1x8EroPs,4
 Bihar,https://www.youtube.com/watch?v=gfDGWjaDaTk,gfDGWjaDaTk,6
 Birthday of Prophet Mohammad,https://www.youtube.com/watch?v=y78hQDvKB_M,y78hQDvKB_M,4
 BJP ,https://www.youtube.com/watch?v=7JdpsRQl8eY,7JdpsRQl8eY,4
 BJP ,https://www.youtube.com/watch?v=2vUvW-0XfUE,2vUvW-0XfUE,4
 BJP ,https://www.youtube.com/watch?v=0AW9acHJhNI,0AW9acHJhNI,3
 BJP ,https://www.youtube.com/watch?v=oNLS4rBETd8,oNLS4rBETd8,4
 BJP ,https://www.youtube.com/watch?v=l8Aq3ttf3lk,l8Aq3ttf3lk,3
 blame,https://www.youtube.com/watch?v=r3HsR87-sN8,r3HsR87-sN8,4
 bold,https://www.youtube.com/watch?v=6nKQbhX9QHo,6nKQbhX9QHo,5
 bookshelf,https://www.youtube.com/watch?v=ED_25-_F0MI,ED_25-_F0MI,6
 bottle gourd,https://www.youtube.com/watch?v=LNeQmfpFxKw,LNeQmfpFxKw,5
 bound,https://www.youtube.com/watch?v=kO5NaIjjtn0,kO5NaIjjtn0,3
 boundless,https://www.youtube.com/watch?v=XdGYd0-mOy8,XdGYd0-mOy8,5
 breath freshener,https://www.youtube.com/watch?v=PP3bE6cjRdQ,PP3bE6cjRdQ,4
 brilliant,https://www.youtube.com/watch?v=rUXhFDo3Bv0,rUXhFDo3Bv0,5
 broad,https://www.youtube.com/watch?v=3Rp9c3S9HiA,3Rp9c3S9HiA,4
 brutal,https://www.youtube.com/watch?v=3FhNDV9UDzc,3FhNDV9UDzc,5
 BSP,https://www.youtube.com/watch?v=s5kbd2DCqpk,s5kbd2DCqpk,4
 Buddhist,https://www.youtube.com/watch?v=Zgt1aed1imY,Zgt1aed1imY,4
 Buddhist,https://www.youtube.com/watch?v=Ot-XctUkMY8,Ot-XctUkMY8,4
 build,https://www.youtube.com/watch?v=Kx46yWsDfrU,Kx46yWsDfrU,7
 bully,https://www.youtube.com/watch?v=sMdon0OffjU,sMdon0OffjU,4
 call,https://www.youtube.com/watch?v=1Mh8DMTca88,1Mh8DMTca88,5
 call off,https://www.youtube.com/watch?v=-kAnMQUsNqY,#NAME?,5
 callous,https://www.youtube.com/watch?v=u6hpIkJUQXE,u6hpIkJUQXE,5
 can,https://www.youtube.com/watch?v=_a81r3Cftzk,_a81r3Cftzk,3
 carry on,https://www.youtube.com/watch?v=tnQmQCzJKfI,tnQmQCzJKfI,5
 casual,https://www.youtube.com/watch?v=4pCZtQ36l1k,4pCZtQ36l1k,5
 chained,https://www.youtube.com/watch?v=kO5NaIjjtn0,kO5NaIjjtn0,3
 champion,https://www.youtube.com/watch?v=nqH15OqXPnI,nqH15OqXPnI,12
 champion,https://www.youtube.com/watch?v=9tph00_pAf4,9tph00_pAf4,4
 chance,https://www.youtube.com/watch?v=rzY50tnGKNg,rzY50tnGKNg,4
 change,https://www.youtube.com/watch?v=U8aIoaNXadQ,U8aIoaNXadQ,5
 chat,https://www.youtube.com/watch?v=vYPkgKmRa6k,vYPkgKmRa6k,4
 choice,https://www.youtube.com/watch?v=kqm4fF_sp4M,kqm4fF_sp4M,5
 Christian,https://www.youtube.com/watch?v=ZlHosNYMQwE,ZlHosNYMQwE,4
 clap,https://www.youtube.com/watch?v=N0OMPBVVK3o,N0OMPBVVK3o,4
 classification,https://www.youtube.com/watch?v=DQg2gfZHQ_0,DQg2gfZHQ_0,5
 classification,https://www.youtube.com/watch?v=TJQdtS0Dkyw,TJQdtS0Dkyw,7
 clip,https://www.youtube.com/watch?v=sNQ2sQ75wJ8,sNQ2sQ75wJ8,5
 clip,https://www.youtube.com/watch?v=sNQ2sQ75wJ8,sNQ2sQ75wJ8,5
 close by,https://www.youtube.com/watch?v=vgtE5_6_VD4,vgtE5_6_VD4,4
 Cochin,https://www.youtube.com/watch?v=n4ITD16-c9Q,n4ITD16-c9Q,6
 cold hearted,https://www.youtube.com/watch?v=3FhNDV9UDzc,3FhNDV9UDzc,5
 collectively,https://www.youtube.com/watch?v=BAuCEJ4uKgE,BAuCEJ4uKgE,4
 command,https://www.youtube.com/watch?v=_Zqd_PC4zYs,_Zqd_PC4zYs,4
 command,https://www.youtube.com/watch?v=d_0HZMA0Ml0,d_0HZMA0Ml0,4
 commend,https://www.youtube.com/watch?v=46-lhzhJf78,46-lhzhJf78,4
 compile,https://www.youtube.com/watch?v=IDxelyv-im0,IDxelyv-im0,6
 complete,https://www.youtube.com/watch?v=8I__oqg4_eE,8I__oqg4_eE,4
 comply ,https://www.youtube.com/watch?v=V94cJaXyYpY,V94cJaXyYpY,3
 comply ,https://www.youtube.com/watch?v=gCc-L7xN82s,gCc-L7xN82s,3
 comprehend,https://www.youtube.com/watch?v=ZzpQw5V7gD0,ZzpQw5V7gD0,4
 comprehend,https://www.youtube.com/watch?v=TmsgikIaXu4,TmsgikIaXu4,3
 comprehend,https://www.youtube.com/watch?v=dPSB-HxRET4,dPSB-HxRET4,3
 concur,https://www.youtube.com/watch?v=QtR5-M2w3RQ,QtR5-M2w3RQ,6
 conduct,https://www.youtube.com/watch?v=M5d-xq3xJi4,M5d-xq3xJi4,5
 conduct,https://www.youtube.com/watch?v=5NwQvEmIQdY,5NwQvEmIQdY,4
 confer,https://www.youtube.com/watch?v=1IZPvJn7an0,1IZPvJn7an0,5
 confined,https://www.youtube.com/watch?v=kO5NaIjjtn0,kO5NaIjjtn0,3
 Congress,https://www.youtube.com/watch?v=YjFFLGIxdsw,YjFFLGIxdsw,3
 connect,https://www.youtube.com/watch?v=cwDDoB4ZOZY,cwDDoB4ZOZY,6
 connect,https://www.youtube.com/watch?v=lypZOubhfds,lypZOubhfds,4
 consent,https://www.youtube.com/watch?v=QtR5-M2w3RQ,QtR5-M2w3RQ,6
 contemplate,https://www.youtube.com/watch?v=r99WfHTRr2A,r99WfHTRr2A,4
 contest,https://www.youtube.com/watch?v=b8z6CTJw-TI,b8z6CTJw-TI,5
 continuous,https://www.youtube.com/watch?v=E79Kez92aqs,E79Kez92aqs,6
 contractual,https://www.youtube.com/watch?v=CjL55F1EpNk,CjL55F1EpNk,6
 contradictory,https://www.youtube.com/watch?v=D12hlBiVjck,D12hlBiVjck,4
 convey,https://www.youtube.com/watch?v=xqWx6o5iue4,xqWx6o5iue4,4
 cost,https://www.youtube.com/watch?v=q97fAwh2-aM,q97fAwh2-aM,5
 counsel,https://www.youtube.com/watch?v=Q7wCb9WlhA0,Q7wCb9WlhA0,3
 couple,https://www.youtube.com/watch?v=RpLX2iGqahI,RpLX2iGqahI,4
 courageous,https://www.youtube.com/watch?v=6nKQbhX9QHo,6nKQbhX9QHo,5
 CPI,https://www.youtube.com/watch?v=3aJtWIMsFx8,3aJtWIMsFx8,4
 create,https://www.youtube.com/watch?v=OB6FvmCHsDg,OB6FvmCHsDg,6
 days after,https://www.youtube.com/watch?v=6D-tRJn3T6E,6D-tRJn3T6E,9
 days after tomorrow,https://www.youtube.com/watch?v=hlWNjgLwXUM,hlWNjgLwXUM,9
 DD,https://www.youtube.com/watch?v=E4_sAfIiflQ,E4_sAfIiflQ,6
 deal,https://www.youtube.com/watch?v=OJqZgTGpghQ,OJqZgTGpghQ,5
 declare,https://www.youtube.com/watch?v=buBZGkwchow,buBZGkwchow,4
 delete ,https://www.youtube.com/watch?v=qu0RevE96ac,qu0RevE96ac,4
 delete ,https://www.youtube.com/watch?v=FlaNoLJsw-s,FlaNoLJsw-s,4
 delete ,https://www.youtube.com/watch?v=nVGUO-aBw6o,nVGUO-aBw6o,3
 demonstration,https://www.youtube.com/watch?v=oL5-8eYbp3I,oL5-8eYbp3I,6
 desire,https://www.youtube.com/watch?v=Zux-Hazhhqo,Zux-Hazhhqo,4
 desk,https://www.youtube.com/watch?v=YQflbkaOx2g,YQflbkaOx2g,4
 difficult,https://www.youtube.com/watch?v=39tZrKjvdQM,39tZrKjvdQM,5
 dim,https://www.youtube.com/watch?v=hlRsj56XQh4,hlRsj56XQh4,5
 din,https://www.youtube.com/watch?v=hvNcv6oLpaY,hvNcv6oLpaY,4
 direct,https://www.youtube.com/watch?v=_Zqd_PC4zYs,_Zqd_PC4zYs,4
 direct,https://www.youtube.com/watch?v=d_0HZMA0Ml0,d_0HZMA0Ml0,4
 dispute,https://www.youtube.com/watch?v=TLN5DkTzcX8,TLN5DkTzcX8,4
 dissent ,https://www.youtube.com/watch?v=34WMjwYFdsI,34WMjwYFdsI,5
 dissent ,https://www.youtube.com/watch?v=bouFPfGo6UI,bouFPfGo6UI,5
 disturbed,https://www.youtube.com/watch?v=9sK2PFaxoHw,9sK2PFaxoHw,4
 diversity,https://www.youtube.com/watch?v=L1m5VhGiv_g,L1m5VhGiv_g,4
 drive,https://www.youtube.com/watch?v=ELCvZrWheyk,ELCvZrWheyk,8
 drive,https://www.youtube.com/watch?v=oqq2I0ePK3Y,oqq2I0ePK3Y,8
 drive,https://www.youtube.com/watch?v=k3gjXKD3_XU,k3gjXKD3_XU,7
 droplet,https://www.youtube.com/watch?v=uZB4kRSkd_g,uZB4kRSkd_g,6
 eggplant,https://www.youtube.com/watch?v=woQgNTk9IIE,woQgNTk9IIE,6
 eject,https://www.youtube.com/watch?v=x3nuREvEwis,x3nuREvEwis,4
 eject,https://www.youtube.com/watch?v=dT9dCqGuDCE,dT9dCqGuDCE,5
 elder brother,https://www.youtube.com/watch?v=zEhEGpPHGLE,zEhEGpPHGLE,3
 elder sister,https://www.youtube.com/watch?v=YCnpEJTrtb4,YCnpEJTrtb4,3
 elderly,https://www.youtube.com/watch?v=z-gika19BqU,z-gika19BqU,4
 EMI,https://www.youtube.com/watch?v=h3c9_id8RWg,h3c9_id8RWg,5
 EMI,https://www.youtube.com/watch?v=vLk7S0mnUms,vLk7S0mnUms,12
 empty,https://www.youtube.com/watch?v=dNZ0oK9jvZs,dNZ0oK9jvZs,4
 endure,https://www.youtube.com/watch?v=DCH3d-S6BlI,DCH3d-S6BlI,4
 endure,https://www.youtube.com/watch?v=W0VSNIUgNVw,W0VSNIUgNVw,4
 energetic,https://www.youtube.com/watch?v=hKT6dEhxTAE,hKT6dEhxTAE,6
 enjoy,https://www.youtube.com/watch?v=Y0ObDf8ZmJ0,Y0ObDf8ZmJ0,6
 eraser,https://www.youtube.com/watch?v=z4D6TU11HbE,z4D6TU11HbE,4
 error,https://www.youtube.com/watch?v=sn0j9u42p5Q,sn0j9u42p5Q,6
 error,https://www.youtube.com/watch?v=dIH705Z6Wkk,dIH705Z6Wkk,6
 error ,https://www.youtube.com/watch?v=aIYmSF72Yk4,aIYmSF72Yk4,3
 every time,https://www.youtube.com/watch?v=iWpgiYUT23c,iWpgiYUT23c,4
 Everyday,https://www.youtube.com/watch?v=4onhprzwUMw,4onhprzwUMw,4
 exhausted,https://www.youtube.com/watch?v=r9DiSHym81k,r9DiSHym81k,5
 expertise,https://www.youtube.com/watch?v=1G3VZ_HWTWI,1G3VZ_HWTWI,4
 faeces,https://www.youtube.com/watch?v=C_VE9wu76So,C_VE9wu76So,4
 false,https://www.youtube.com/watch?v=XFG6tJjEar8,XFG6tJjEar8,4
 fatigued,https://www.youtube.com/watch?v=r9DiSHym81k,r9DiSHym81k,5
 FD,https://www.youtube.com/watch?v=UB4Z8Wzkj5g,UB4Z8Wzkj5g,4
 female,https://www.youtube.com/watch?v=zJmlqjm_b5g,zJmlqjm_b5g,3
 few,https://www.youtube.com/watch?v=F9JOa0fXPI4,F9JOa0fXPI4,4
 finish,https://www.youtube.com/watch?v=kYwtY_FCM1c,kYwtY_FCM1c,4
 finish,https://www.youtube.com/watch?v=UOCJkoSjr9w,UOCJkoSjr9w,6
 fire from job,https://www.youtube.com/watch?v=dT9dCqGuDCE,dT9dCqGuDCE,5
 first language,https://www.youtube.com/watch?v=PGdVl8-IzJA,PGdVl8-IzJA,7
 frustrated,https://www.youtube.com/watch?v=HLJXFFx-auI,HLJXFFx-auI,4
 funds,https://www.youtube.com/watch?v=ADOlYPfw_T8,ADOlYPfw_T8,6
 funny,https://www.youtube.com/watch?v=m1LyTLlhmvA,m1LyTLlhmvA,6
 gain,https://www.youtube.com/watch?v=SnUlY4XhAG0,SnUlY4XhAG0,5
 gape,https://www.youtube.com/watch?v=z9fE3-r78UE,z9fE3-r78UE,5
 gather,https://www.youtube.com/watch?v=IDxelyv-im0,IDxelyv-im0,6
 gawk,https://www.youtube.com/watch?v=z9fE3-r78UE,z9fE3-r78UE,5
 gaze,https://www.youtube.com/watch?v=WlhFpHM7lYY,WlhFpHM7lYY,4
 general strike Munger,https://www.youtube.com/watch?v=mrKqXT7mi94,mrKqXT7mi94,5
 genuine,https://www.youtube.com/watch?v=IhUPDOGqMaw,IhUPDOGqMaw,4
 go back,https://www.youtube.com/watch?v=0Kcn-1OPd84,0Kcn-1OPd84,3
 goal,https://www.youtube.com/watch?v=F_ssKRakSBs,F_ssKRakSBs,4
 goodbye,https://www.youtube.com/watch?v=O6YJgD20e2g,O6YJgD20e2g,5
 grade,https://www.youtube.com/watch?v=yWRsnrs4C5w,yWRsnrs4C5w,5
 graft,https://www.youtube.com/watch?v=LeRzzzBBsmU,LeRzzzBBsmU,5
 grasp,https://www.youtube.com/watch?v=TmsgikIaXu4,TmsgikIaXu4,3
 grasp,https://www.youtube.com/watch?v=dPSB-HxRET4,dPSB-HxRET4,3
 groom,https://www.youtube.com/watch?v=Jedn1-9fyXw,Jedn1-9fyXw,9
 group,https://www.youtube.com/watch?v=TJQdtS0Dkyw,TJQdtS0Dkyw,7
 guard,https://www.youtube.com/watch?v=Roh9CQ2tF3Y,Roh9CQ2tF3Y,3
 guide,https://www.youtube.com/watch?v=6eCbHVCJ9N0,6eCbHVCJ9N0,4
 halt,https://www.youtube.com/watch?v=M24VjuHEfgo,M24VjuHEfgo,4
 handle,https://www.youtube.com/watch?v=siXvRrMuC0s,siXvRrMuC0s,4
 hard drive,https://www.youtube.com/watch?v=cApvRkBL8e0,cApvRkBL8e0,6
 hard drive,https://www.youtube.com/watch?v=1SkZMNfDITQ,1SkZMNfDITQ,5
 harsh,https://www.youtube.com/watch?v=u6hpIkJUQXE,u6hpIkJUQXE,5
 hazard,https://www.youtube.com/watch?v=YFrtVUeFoe4,YFrtVUeFoe4,4
 hold,https://www.youtube.com/watch?v=JjDVZDpPjbc,JjDVZDpPjbc,4
 holidays,https://www.youtube.com/watch?v=7BK0J1hZ7_Q,7BK0J1hZ7_Q,4
 home,https://www.youtube.com/watch?v=U--0FZU2bDg,U--0FZU2bDg,4
 hopscotch,https://www.youtube.com/watch?v=-0Oo1kPonYQ,-0Oo1kPonYQ,6
 horde,https://www.youtube.com/watch?v=y_q_egfFoq0,y_q_egfFoq0,5
 hurry ,https://www.youtube.com/watch?v=9MZyb9n2hmw,9MZyb9n2hmw,4
 Hyderabad,https://www.youtube.com/watch?v=M0bcUWG8vrg,M0bcUWG8vrg,6
 Id e Milad,https://www.youtube.com/watch?v=y78hQDvKB_M,y78hQDvKB_M,4
 idle talk,https://www.youtube.com/watch?v=ezucq9E_nvs,ezucq9E_nvs,8
 idle talk,https://www.youtube.com/watch?v=06lnhzFJMgo,06lnhzFJMgo,4
 ignite,https://www.youtube.com/watch?v=ui_ACRhp1jY,ui_ACRhp1jY,5
 immeasurable,https://www.youtube.com/watch?v=e8r0Tt42W7Q,e8r0Tt42W7Q,5
 impact,https://www.youtube.com/watch?v=y7FUr6B4Uh4,y7FUr6B4Uh4,3
 in the middle,https://www.youtube.com/watch?v=_gdCYZeEcTY,_gdCYZeEcTY,5
 inaccuracy ,https://www.youtube.com/watch?v=sn0j9u42p5Q,sn0j9u42p5Q,6
 inaccuracy ,https://www.youtube.com/watch?v=dIH705Z6Wkk,dIH705Z6Wkk,6
 inactive,https://www.youtube.com/watch?v=v2ak0hp1ZTw,v2ak0hp1ZTw,4
 INC,https://www.youtube.com/watch?v=YjFFLGIxdsw,YjFFLGIxdsw,3
 incite,https://www.youtube.com/watch?v=EkaFWDZrh2E,EkaFWDZrh2E,5
