Word,Link,ID
tea,https://www.youtube.com/watch?v=l7GQ-fR-DsA,l7GQ-fR-DsA
teach,https://www.youtube.com/watch?v=Brqv7-rpdTQ,Brqv7-rpdTQ
teacher,https://www.youtube.com/watch?v=Qy_q0sAucuw,Qy_q0sAucuw
team (sign 1),https://www.youtube.com/watch?v=kqc7eglNJvE,kqc7eglNJvE
team (sign 2),https://www.youtube.com/watch?v=0REGTy6eqSc,0REGTy6eqSc
technician (sign 1),https://www.youtube.com/watch?v=ie88hOTzHTk,ie88hOTzHTk
technician (sign 2),https://www.youtube.com/watch?v=ZUL1-j2VL6w,ZUL1-j2VL6w
taxi,https://www.youtube.com/watch?v=nbJBh7lzl30,nbJBh7lzl30
technology,https://www.youtube.com/watch?v=IATnhKazi7g,IATnhKazi7g
Telangana (sign 1),https://www.youtube.com/watch?v=m9lpyg8UEMU,m9lpyg8UEMU
Telangana (sign 2),https://www.youtube.com/watch?v=NtnfUEDzoPo,NtnfUEDzoPo
television,https://www.youtube.com/watch?v=J0Jx4BIuGn0,J0Jx4BIuGn0
Telugu,https://www.youtube.com/watch?v=iu7j255lYQU,iu7j255lYQU
temperature (meaning) (sign 1),https://www.youtube.com/watch?v=TjSYqjfk-lc,TjSYqjfk-lc
temperature (meaning) (sign 2),https://www.youtube.com/watch?v=mxOt9rKB_ak,mxOt9rKB_ak
temperature,https://www.youtube.com/watch?v=TJeHXGVDCms,TJeHXGVDCms
temple,https://www.youtube.com/watch?v=rAUcd8-2e3Y,rAUcd8-2e3Y
temporary (sign 1),https://www.youtube.com/watch?v=vJy28p55lkQ,vJy28p55lkQ
temporary (sign 2),https://www.youtube.com/watch?v=Ujw6xa-mmZM,Ujw6xa-mmZM
tennis,https://www.youtube.com/watch?v=S0nGLXH4H5Y,S0nGLXH4H5Y
mechanic (sign 1),https://www.youtube.com/watch?v=i-W0qokTIeM,i-W0qokTIeM
meat (sign 2),https://www.youtube.com/watch?v=FhgAT_pNTIE,FhgAT_pNTIE
measurement,https://www.youtube.com/watch?v=eBn_I264LVs,eBn_I264LVs
maximum,https://www.youtube.com/watch?v=WNcSoq9M-FU,WNcSoq9M-FU
Mauritius,https://www.youtube.com/watch?v=4imVoSmU5vc,4imVoSmU5vc
maternal aunt,https://www.youtube.com/watch?v=f--3Qilcxvs,f--3Qilcxvs
material (sign 2),https://www.youtube.com/watch?v=naUuqfBUvU8,naUuqfBUvU8
material (sign 1),https://www.youtube.com/watch?v=z7fqi4_fZvI,z7fqi4_fZvI
"match (competition, sports)",https://www.youtube.com/watch?v=Lj9L7fUElLE,Lj9L7fUElLE
mason,https://www.youtube.com/watch?v=7vVeFsNN7uA,7vVeFsNN7uA
"Mary, Virgin Mary",https://www.youtube.com/watch?v=975SGXvNf0M,975SGXvNf0M
"marry, wed",https://www.youtube.com/watch?v=Ov-hdZ4oacg,Ov-hdZ4oacg
12 twelve,https://www.youtube.com/watch?v=U4dnLRpeTN8,U4dnLRpeTN8
10 ten,https://www.youtube.com/watch?v=eSFyfkFVTIU,eSFyfkFVTIU
"10,000 ten thousand",https://www.youtube.com/watch?v=4tKpSwmWzRc,4tKpSwmWzRc
13 thirteen,https://www.youtube.com/watch?v=QXQ8ILhehkI,QXQ8ILhehkI
20 twenty,https://www.youtube.com/watch?v=2iWRUv6eMls,2iWRUv6eMls
