,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Synset('absence.n.01'),Synset('absence.n.02'),Synset('absence.n.03'),Synset('absence.n.04'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Synset('absurd.n.01'),Synset('absurd.s.01'),Synset('absurd.s.02'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Synset('handiness.n.02'),Synset('approachability.n.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Synset('administer.v.01'),Synset('administer.v.02'),Synset('distribute.v.01'),Synset('administer.v.04'),Synset('administer.v.05'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Synset('warn.v.02'),Synset('caution.v.01'),Synset('admonish.v.03'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Synset('affect.n.01'),Synset('affect.v.01'),Synset('affect.v.02'),Synset('involve.v.01'),Synset('feign.v.01'),Synset('affect.v.05'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Synset('aged.n.01'),Synset('age.v.01'),Synset('senesce.v.01'),Synset('age.v.03'),Synset('aged.s.01'),Synset('aged.s.02'),Synset('aged.s.03'),Synset('aged.s.04'),Synset('aged.s.05'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Synset('sum.n.05'),Synset('aggregate.n.02'),Synset('aggregate.n.03'),Synset('aggregate.v.01'),Synset('aggregate.v.02'),Synset('aggregate.s.01'),Synset('aggregate.s.02'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
